z,x5,St,Sh,lb,ub
0.0,1.0,1.0,0.9995803504754138,0.9976464315493853,0.9999999999585298
0.12244897959183673,1.0,0.9801839947455377,0.9874094224911989,0.9786561431249123,0.9938359864680133
0.24489795918367346,1.0,0.9211836956529855,0.9543012940279044,0.9375386946535147,0.9687440616821462
0.36734693877551017,1.0,0.8493919494930159,0.9054909478565766,0.8821637935901939,0.9261390154676077
0.4897959183673469,1.0,0.7777446197006603,0.8470118260549793,0.8168394441872919,0.8729167863292563
0.6122448979591837,1.0,0.7108939404397687,0.7841663587008504,0.7490356738698052,0.8141925204764684
0.7346938775510203,1.0,0.6502015913604337,0.721190676124634,0.6817097857530704,0.7566290536525209
0.8571428571428571,1.0,0.5957347772155658,0.6611426237205629,0.6180736003062203,0.7008369012175742
0.9795918367346939,1.0,0.5470695005204484,0.6059240804063477,0.5577529049050968,0.6505872633804638
1.1020408163265307,1.0,0.5036243310119927,0.5564287408069838,0.504933305141567,0.6056401776313382
1.2244897959183674,1.0,0.4648002240538779,0.5127721655649248,0.459477070203236,0.5667281602142654
1.346938775510204,1.0,0.43003683446559227,0.4745479497665112,0.4207421544240108,0.5332184240797092
1.4693877551020407,1.0,0.3988320266072739,0.4410640576969048,0.3877640084258192,0.5024168787643758
1.5918367346938775,1.0,0.3707451884895031,0.41153167245272887,0.35822201386286084,0.47513421283250606
1.7142857142857142,1.0,0.34539371155774656,0.3851961768393403,0.3319916977903487,0.4505723799813056
1.836734693877551,1.0,0.32244694545587793,0.3614126575927613,0.3068944070628482,0.42840763852778213
1.9591836734693877,1.0,0.30161959615476075,0.3396760098925569,0.28304929537033763,0.4066134117920301
2.0816326530612246,1.0,0.28266542967870145,0.31961893557545906,0.260974865325813,0.3866089874570808
2.2040816326530615,1.0,0.26537161751515415,0.3009909990159692,0.2404452843990955,0.3683102939711591
2.326530612244898,1.0,0.2495538122980464,0.2836296904365363,0.22221516240230954,0.35171418019596146
2.4489795918367347,1.0,0.2350519305386729,0.2674313039881962,0.20567424275401275,0.3362788178451929
2.571428571428571,1.0,0.22172657358300862,0.25232625902267625,0.19028807741919482,0.32166437873235165
2.693877551020408,1.0,0.20945600428591793,0.23826083781088592,0.176559028812991,0.3075945218858564
2.816326530612245,1.0,0.19813359800217478,0.22518542915167972,0.1639514673076604,0.29394588098375624
2.9387755102040813,1.0,0.18766569387395504,0.213048263915114,0.15242041104210158,0.2810914012778885
3.0612244897959187,1.0,0.1779697818520919,0.2017931696918434,0.1418530852482234,0.26852840266757516
3.183673469387755,1.0,0.16897297043502746,0.19135986179800843,0.1323866272469084,0.2571173499623055
3.3061224489795915,1.0,0.16061068887404284,0.18168553363514833,0.1236318996435479,0.2465388446528377
3.4285714285714284,1.0,0.15282558526411238,0.17270685522671975,0.11580667285586642,0.23638624574365982
3.5510204081632653,1.0,0.1455665884752564,0.16436182951805764,0.10911141566110501,0.22667080265283354
3.673469387755102,1.0,0.13878810736017755,0.15659123447638124,0.10286756331760843,0.21793694717218076
3.795918367346939,1.0,0.13244934522731433,0.14933957506344903,0.09656866853277257,0.20947019587422291
3.9183673469387754,1.0,0.12651371133060962,0.1425555867589322,0.09125873955860252,0.2013870268420736
4.040816326530612,1.0,0.12094831422676455,0.13619238776088902,0.08617011515264651,0.19382986395753704
4.163265306122449,1.0,0.11572352440130396,0.13020739008946772,0.08143885115171082,0.18702042275946207
4.285714285714286,1.0,0.11081259566361812,0.12456206853959156,0.07744773562205494,0.1801246358843365
4.408163265306123,1.0,0.10619133653976309,0.11922166440531373,0.07353257869700583,0.17354118881392688
4.530612244897959,1.0,0.10183782431746868,0.11415487698218185,0.06985996614111013,0.16729222883109554
4.653061224489796,1.0,0.09773215557579018,0.10933357481254499,0.06641589223621801,0.1614050896283527
4.775510204081632,1.0,0.09385622800719517,0.10473254232831714,0.06324895798468837,0.15548088434743945
4.8979591836734695,1.0,0.09019354914934707,0.1003292660748594,0.06021504807245773,0.1495853625480143
5.020408163265307,1.0,0.08672906831724314,0.09610375734749689,0.05722458694960415,0.14388362113537365
5.142857142857142,1.0,0.08344902858800629,0.09203840388722276,0.05404253119757019,0.13847998213768306
5.26530612244898,1.0,0.08034083616023413,0.08811784139514016,0.05124753128116429,0.13314575278013818
5.387755102040816,1.0,0.07739294480349845,0.08432883535752192,0.04824344831847154,0.12804855807431917
5.510204081632653,1.0,0.07459475344446875,0.08066016452853819,0.04510181591528448,0.12292577827934725
5.63265306122449,1.0,0.07193651521495181,0.07710249902708452,0.04265986889765743,0.11838789029483368
5.755102040816326,1.0,0.06940925652268837,0.07364826807201161,0.04002929119920041,0.11408756072108027
5.877551020408163,1.0,0.06700470490522625,0.07029151464893309,0.037552107019238584,0.10977810604250274
6.0,1.0,0.06471522459656132,0.06702773664111797,0.03497144270489122,0.10527791857291673
0.0,0.0,1.0,0.9999991836581765,0.9999918745334073,1.0000000000000002
0.12244897959183673,0.0,0.9996967136883536,0.9942083914462236,0.9886479289739107,0.9975332885630207
0.24489795918367346,0.0,0.9926247610451162,0.9731701323914145,0.9555102153581111,0.9852176442749035
0.36734693877551017,0.0,0.968501466914526,0.9346079056867244,0.9041061297688024,0.9606948527408673
0.4897959183673469,0.0,0.9262247233453116,0.8798439838763705,0.8382061130178498,0.9199577907578467
0.6122448979591837,0.0,0.8706483588494216,0.8131144372373473,0.7604064332510047,0.863080781688801
0.7346938775510203,0.0,0.8075769658164633,0.7401051426893253,0.6812322979802464,0.7949271432870411
0.8571428571428571,0.0,0.7417618676682831,0.6663210617272775,0.607429190960121,0.7239610158751465
0.9795918367346939,0.0,0.6765336769423624,0.5960064840158161,0.5394558214625357,0.6527467522101595
1.1020408163265307,0.0,0.614002397922453,0.5317580616853378,0.48043308667361184,0.5846494629609409
1.2244897959183674,0.0,0.5553741158215912,0.47464918306711024,0.4274033656215651,0.5238017568577017
1.346938775510204,0.0,0.5012341864350016,0.42461589879958167,0.3808667319025117,0.4696505006029108
1.4693877551020407,0.0,0.45176301890092607,0.3809058290272204,0.33975416107164685,0.4239366463882921
1.5918367346938775,0.0,0.4068889819877599,0.34247064882374567,0.3003781198269202,0.38334930537936374
1.7142857142857142,0.0,0.3663923659072127,0.3082501332541864,0.26267865143272584,0.3485855533072012
1.836734693877551,0.0,0.3299740518075175,0.2773409839517058,0.22645762101673714,0.31764019132883614
1.9591836734693877,0.0,0.297299730200999,0.2490685601480579,0.1939853728481181,0.29035481180086403
2.0816326530612246,0.0,0.2680275835754766,0.22298952165088862,0.1648950706018758,0.266163672225659
2.2040816326530615,0.0,0.24182497549164284,0.19885367498130946,0.13843268745262768,0.24459540897117754
2.326530612244898,0.0,0.21837793711043696,0.1765484189451798,0.11495614700498526,0.22403622441244367
2.4489795918367347,0.0,0.19739600687736303,0.1560423212251628,0.09429203298722119,0.20477315587071773
2.571428571428571,0.0,0.17861412893081474,0.1373375952184586,0.07677261693664562,0.18601680292190734
2.693877551020408,0.0,0.1617927388315683,0.1204357112936747,0.06233438702343186,0.16847754243108234
2.816326530612245,0.0,0.146716777005079,0.10531648438155694,0.05048789445220062,0.15262467110297728
2.9387755102040813,0.0,0.13319411061096909,0.09192867956107566,0.04053987511979161,0.13772221491994638
3.0612244897959187,0.0,0.12105367166206926,0.08018916654733016,0.0327342058015549,0.1239941632286476
3.183673469387755,0.0,0.11014350463806444,0.069987542563865,0.026283982823443932,0.1117317395787685
3.3061224489795915,0.0,0.10032884132788833,0.06119356015946862,0.02091254754434863,0.1008468196601267
3.4285714285714284,0.0,0.09149027123816134,0.05366534639014704,0.0167282535872649,0.091911333115219
3.5510204081632653,0.0,0.08352204392709228,0.047257079086458854,0.013232634400130918,0.08373614435699439
3.673469387755102,0.0,0.07633051923364209,0.04182537674381521,0.01045542260157423,0.07669119945658669
3.795918367346939,0.0,0.06983276866239496,0.037234109622193805,0.008282692454746946,0.07058341116705323
3.9183673469387754,0.0,0.06395532353745204,0.03335764452890817,0.00652797318306856,0.0653745495011504
4.040816326530612,0.0,0.05863306120122491,0.03008271357193663,0.0051618070641112805,0.06112196188905601
4.163265306122449,0.0,0.05380821833490468,0.02730917775558964,0.004079870648712915,0.05731203436180444
4.285714285714286,0.0,0.04942951963572906,0.024949970581813325,0.003304027215291563,0.053836588643229696
4.408163265306123,0.0,0.045451410083599875,0.022930481529116573,0.0027202149959863614,0.05080511205797697
4.530612244897959,0.0,0.0418333795241671,0.021187594758000233,0.00226225491948335,0.047877986533010015
4.653061224489796,0.0,0.038539369063770534,0.019668548521310968,0.0019307291948610953,0.04538934289794852
4.775510204081632,0.0,0.03553724966964489,0.018329733919113324,0.0016991412364409072,0.04310452858538391
4.8979591836734695,0.0,0.03279836430565308,0.017135512058054813,0.0015140237907168579,0.0410759507025861
5.020408163265307,0.0,0.03029712585394695,0.016057097766217426,0.0013469558069437388,0.03904101680180625
5.142857142857142,0.0,0.028010663944063263,0.015071535482949048,0.001230136931084239,0.03729583656785082
5.26530612244898,0.0,0.025918514615959065,0.01416077761481285,0.0011505473619417806,0.03554954329832738
5.387755102040816,0.0,0.024002347475028718,0.013310866019767298,0.0010985324338499054,0.03362069872686007
5.510204081632653,0.0,0.022245725654018167,0.012511211851831579,0.0010021268244184557,0.03204146569499037
5.63265306122449,0.0,0.020633894481402404,0.011753966447164286,0.0009550094487877429,0.030393527711864852
5.755102040816326,0.0,0.01915359527279692,0.011033475191401554,0.0008877059786792075,0.028668527402644
5.877551020408163,0.0,0.017792901116915005,0.01034580657247739,0.000840209737136526,0.026897021292254287
6.0,0.0,0.01654107192646359,0.009688349329441926,0.0008041953989847077,0.025401998313136755
